cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
2510 0.251251 0.298714 0.127660 0.317159 0.256804 0.352446 0.253250 0.380702 0.289319 0.106824
2510 0.247709 0.291911 0.120690 0.324368 0.260221 0.346453 0.246560 0.373684 0.284694 0.101930
2510 0.247749 0.298684 0.127062 0.312158 0.256211 0.354030 0.255758 0.378675 0.292657 0.103030
267 0.219280 0.167199 0.123701 0.220881 0.286074 0.137955 0.409914 0.219631 0.286540 0.250392
267 0.211829 0.169106 0.138874 0.225528 0.278291 0.135851 0.414807 0.207323 0.285076 0.247715
267 0.214731 0.165632 0.140238 0.224754 0.291355 0.140078 0.413098 0.213213 0.297380 0.260406
268 0.196172 0.212060 0.197958 0.302231 0.330201 0.216534 0.491249 0.167804 0.245287 0.357445
268 0.195192 0.217618 0.199870 0.298953 0.334919 0.219986 0.483768 0.169774 0.248045 0.355058
268 0.202711 0.216194 0.202889 0.308434 0.334468 0.219544 0.494213 0.169634 0.252104 0.348156
269 0.262977 0.160534 0.151622 0.312084 0.293685 0.142907 0.312338 0.282020 0.306092 0.133577
269 0.266108 0.152477 0.151175 0.308850 0.293768 0.147924 0.306511 0.290825 0.315002 0.139987
269 0.263797 0.163067 0.148401 0.319808 0.294238 0.142987 0.313206 0.278580 0.310681 0.145944
2610 0.221161 0.134845 0.136422 0.311948 0.238551 0.210666 0.290167 0.355661 0.324746 0.091149
2610 0.226765 0.143564 0.153855 0.312624 0.244936 0.225028 0.269453 0.364143 0.336535 0.086533
2610 0.210555 0.146854 0.136940 0.319586 0.250079 0.210471 0.275391 0.363397 0.345174 0.088278
278 0.173557 0.219992 0.029204 0.351194 0.336237 0.307218 0.287427 0.280249 0.321245 0.154279
278 0.186913 0.219468 0.024860 0.360712 0.340801 0.309493 0.275069 0.280885 0.338531 0.158403
278 0.173323 0.228650 0.027658 0.351067 0.340706 0.316159 0.282723 0.275838 0.327191 0.144472
279 0.286358 0.184895 0.215337 0.353935 0.212734 0.175195 0.556110 0.312259 0.248481 0.260427
279 0.284315 0.190077 0.219567 0.354963 0.221197 0.176624 0.552063 0.313801 0.251373 0.262157
279 0.276303 0.170996 0.206577 0.367074 0.226171 0.170275 0.560720 0.319765 0.243967 0.278250
2710 0.297263 0.227674 0.383192 0.330358 0.252787 0.226844 0.560640 0.274360 0.288949 0.228460
2710 0.293733 0.227955 0.383268 0.329391 0.247992 0.226329 0.558493 0.273022 0.286327 0.237532
2710 0.298348 0.224980 0.377642 0.327232 0.248317 0.216415 0.555760 0.273136 0.290492 0.233182
289 0.248802 0.208563 0.241835 0.216150 0.158164 0.240458 0.592722 0.312379 0.175889 0.296336
289 0.251150 0.190772 0.234350 0.224449 0.165584 0.234666 0.594705 0.310158 0.182607 0.290684
289 0.240130 0.190865 0.245152 0.226473 0.169378 0.231293 0.596355 0.318426 0.181049 0.287943
2810 0.311275 0.188235 0.252877 0.334709 0.230890 0.177497 0.585105 0.336055 0.291067 0.282010
2810 0.321452 0.180631 0.233896 0.342091 0.234546 0.168875 0.591471 0.334907 0.285717 0.290531
2810 0.321478 0.194115 0.249917 0.341157 0.240084 0.180868 0.595853 0.328850 0.289473 0.281370
2910 0.176758 0.236536 0.031881 0.376468 0.342056 0.322491 0.264475 0.217233 0.359144 0.152888
2910 0.177298 0.218825 0.034170 0.370597 0.335931 0.319643 0.255139 0.215594 0.357516 0.156028
2910 0.179385 0.227037 0.033380 0.373803 0.356283 0.329448 0.258054 0.229987 0.357438 0.149022
345 0.170974 0.235752 0.265656 0.243786 0.241715 0.237553 0.297041 0.258469 0.084583 0.195396
345 0.175398 0.241027 0.271525 0.234189 0.233082 0.242893 0.303605 0.254388 0.077503 0.197543
345 0.163736 0.236757 0.256707 0.241293 0.228202 0.234654 0.304425 0.248007 0.085427 0.195431
346 0.158084 0.097301 0.296972 0.198803 0.178476 0.175399 0.314500 0.291090 0.277721 0.199200
346 0.148481 0.100956 0.309930 0.194144 0.180168 0.170628 0.308756 0.274691 0.284578 0.208691
346 0.156751 0.099607 0.302060 0.188230 0.175126 0.154920 0.310426 0.281478 0.270498 0.204561
347 0.094147 0.171001 0.380153 0.199985 0.121515 0.243434 0.543069 0.158698 0.327711 0.526638
347 0.090094 0.176141 0.369890 0.192525 0.120081 0.246256 0.546278 0.159574 0.330403 0.519445
347 0.084656 0.172123 0.373910 0.204163 0.117355 0.242985 0.540464 0.158537 0.327269 0.515909
348 0.147113 0.217842 0.284463 0.256063 0.196521 0.237192 0.572982 0.160474 0.173761 0.503153
348 0.147758 0.223310 0.277320 0.250865 0.193769 0.232778 0.585925 0.175507 0.171072 0.505859
348 0.141500 0.216809 0.289285 0.251626 0.195124 0.231434 0.578956 0.174547 0.179056 0.499484
349 0.147742 0.092898 0.249367 0.101565 0.153772 0.185392 0.263028 0.352566 0.268651 0.261944
349 0.139638 0.104366 0.249340 0.113241 0.139132 0.186369 0.270455 0.351839 0.272685 0.257408
349 0.139875 0.095951 0.256188 0.108693 0.140138 0.185821 0.261393 0.349586 0.260477 0.266506
3410 0.113158 0.222117 0.198426 0.228548 0.175114 0.240644 0.291451 0.439328 0.059892 0.221074
3410 0.110160 0.214194 0.194532 0.222527 0.180330 0.237389 0.289070 0.418986 0.056315 0.213834
3410 0.113088 0.219671 0.208705 0.222788 0.177846 0.246956 0.291690 0.432163 0.070678 0.219284
356 0.147893 0.091848 0.306848 0.200810 0.177647 0.168320 0.314374 0.280695 0.278077 0.202659
356 0.143080 0.095561 0.300354 0.202975 0.178372 0.158940 0.317618 0.278396 0.278577 0.205453
356 0.145800 0.093308 0.299630 0.198384 0.180302 0.163766 0.312941 0.280861 0.282573 0.208368
357 0.086268 0.164636 0.382251 0.196727 0.124425 0.238820 0.549715 0.170302 0.330995 0.521269
357 0.088168 0.157050 0.377470 0.197903 0.128713 0.238790 0.547270 0.147970 0.329603 0.524969
357 0.087886 0.172605 0.375682 0.198034 0.120369 0.243057 0.544747 0.156349 0.328915 0.519548
358 0.146761 0.218319 0.279415 0.261972 0.203590 0.225705 0.580026 0.168448 0.165356 0.495608
358 0.143670 0.218511 0.281745 0.259735 0.188726 0.228292 0.580568 0.166302 0.164920 0.488372
358 0.144082 0.221750 0.277059 0.257634 0.201318 0.228496 0.579832 0.162793 0.166444 0.486252
359 0.148748 0.107712 0.247613 0.104916 0.146781 0.184953 0.267353 0.343909 0.265489 0.254150
359 0.146345 0.092722 0.255834 0.107846 0.140788 0.187889 0.263589 0.352771 0.273983 0.256043
359 0.147312 0.100661 0.253147 0.095206 0.147673 0.175890 0.254667 0.350709 0.257670 0.252610
3510 0.103665 0.215094 0.197146 0.221705 0.170402 0.245626 0.293633 0.434388 0.066672 0.211831
3510 0.120359 0.212269 0.205445 0.215724 0.183716 0.226274 0.283579 0.426702 0.069475 0.211268
3510 0.107328 0.220407 0.195261 0.222492 0.168933 0.252625 0.298256 0.431258 0.052038 0.221583
367 0.128945 0.312737 0.246707 0.270345 0.126184 0.262879 0.589320 0.166370 0.114840 0.548718
367 0.137887 0.313270 0.251839 0.275205 0.113272 0.261157 0.587506 0.160721 0.113566 0.547953
367 0.130703 0.307398 0.264682 0.261342 0.134455 0.255468 0.596693 0.161237 0.126025 0.556378
368 0.146101 0.228710 0.273720 0.212846 0.154516 0.198275 0.572826 0.146747 0.112492 0.512172
368 0.151252 0.229063 0.287657 0.206618 0.154768 0.196907 0.583776 0.156653 0.113148 0.513817
368 0.146369 0.238682 0.274377 0.218205 0.162366 0.202591 0.576309 0.149007 0.114321 0.513671
369 0.180715 0.184717 0.361367 0.277717 0.283763 0.184551 0.261855 0.321884 0.092628 0.228837
369 0.188264 0.186500 0.360439 0.280621 0.283978 0.202023 0.268764 0.320651 0.099377 0.235838
369 0.177940 0.194927 0.358702 0.282255 0.284347 0.198843 0.265372 0.322868 0.092759 0.233386
3610 0.142392 0.273675 0.240213 0.169582 0.125833 0.206910 0.272550 0.280974 0.111727 0.229528
3610 0.142188 0.275964 0.260451 0.168743 0.134414 0.202321 0.268973 0.272270 0.105879 0.236373
3610 0.144323 0.278136 0.247403 0.173372 0.129614 0.203291 0.260107 0.284344 0.110742 0.233054
378 0.105705 0.218553 0.206699 0.226178 0.103726 0.209983 0.255949 0.260601 0.103503 0.245926
378 0.108797 0.218680 0.206897 0.221058 0.103463 0.210165 0.258092 0.258891 0.099176 0.235842
378 0.110497 0.222585 0.213339 0.208137 0.112040 0.204930 0.253360 0.270008 0.104297 0.245317
379 0.268612 0.208773 0.396777 0.302849 0.337842 0.185755 0.588729 0.196442 0.080346 0.546804
379 0.257861 0.206968 0.385557 0.303627 0.338331 0.177881 0.579305 0.201555 0.071883 0.534114
379 0.262785 0.202610 0.394098 0.299278 0.339866 0.190010 0.583676 0.200453 0.082336 0.546441
3710 0.204333 0.341866 0.375728 0.273308 0.163709 0.304227 0.587622 0.188795 0.136869 0.521859
3710 0.206725 0.338908 0.387909 0.265695 0.170085 0.306564 0.580340 0.188813 0.134303 0.525235
3710 0.206474 0.326630 0.372759 0.268184 0.168416 0.303729 0.583689 0.191677 0.123610 0.523093
389 0.196978 0.328961 0.406089 0.235193 0.136553 0.309351 0.596302 0.211883 0.094005 0.552706
389 0.204312 0.331634 0.406584 0.236357 0.142157 0.316057 0.603771 0.202609 0.091911 0.555484
389 0.196386 0.336938 0.405992 0.224929 0.127380 0.320032 0.589532 0.193675 0.105872 0.534816
3810 0.267876 0.199121 0.400629 0.290693 0.348634 0.181000 0.621226 0.193841 0.110226 0.573626
3810 0.264902 0.202561 0.408954 0.289944 0.345143 0.176162 0.617875 0.195656 0.115337 0.573053
3810 0.271863 0.196431 0.415175 0.293001 0.343675 0.179417 0.621512 0.205094 0.110878 0.574927
3910 0.107027 0.243785 0.219403 0.217428 0.085283 0.236907 0.302383 0.278117 0.148154 0.235848
3910 0.115437 0.241834 0.225525 0.214255 0.079673 0.232861 0.301739 0.278289 0.142596 0.230354
3910 0.111256 0.236145 0.219070 0.221043 0.092165 0.227604 0.298275 0.275165 0.141850 0.241068
456 0.159591 0.126495 0.056146 0.217594 0.146354 0.179698 0.291067 0.186656 0.274638 0.145114
456 0.152462 0.114552 0.044397 0.221384 0.148800 0.165621 0.306142 0.188997 0.283946 0.141137
456 0.158735 0.111063 0.047736 0.209239 0.143448 0.157902 0.299006 0.191838 0.287953 0.154833
457 0.210353 0.161546 0.124319 0.354573 0.356949 0.240584 0.444115 0.210177 0.284201 0.252023
457 0.209257 0.160051 0.110546 0.343942 0.349684 0.233037 0.446377 0.203654 0.284903 0.253049
457 0.198863 0.165161 0.121044 0.349301 0.352062 0.235420 0.437424 0.197805 0.287767 0.245882
458 0.159074 0.251743 0.068454 0.255508 0.264985 0.223005 0.452948 0.214121 0.216681 0.325888
458 0.164120 0.256727 0.062034 0.245301 0.263695 0.216074 0.448993 0.210544 0.217090 0.335065
458 0.157731 0.254805 0.077716 0.238277 0.256363 0.218006 0.440696 0.214053 0.220440 0.327026
