cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
346 0.082434 0.214508 0.046181 0.051112 0.067860 0.153449 0.232649 0.220990 0.115469 0.227434
346 0.072303 0.219583 0.043617 0.047992 0.062197 0.152258 0.235826 0.218147 0.101754 0.224731
346 0.073912 0.213514 0.044360 0.041487 0.062423 0.152874 0.231254 0.216173 0.104521 0.228404
347 0.091226 0.233684 0.057547 0.071000 0.078959 0.130719 0.292380 0.160193 0.093270 0.345426
347 0.082145 0.233834 0.049925 0.085098 0.074386 0.135128 0.294924 0.145170 0.094974 0.349516
347 0.090137 0.216040 0.061481 0.075800 0.066290 0.134547 0.285736 0.159189 0.099748 0.353827
348 0.075656 0.184717 0.059317 0.088436 0.062264 0.121693 0.289609 0.133194 0.104343 0.405242
348 0.065401 0.184694 0.067969 0.086101 0.066061 0.128316 0.303611 0.136541 0.108391 0.407307
348 0.086776 0.197035 0.052276 0.082839 0.076163 0.122696 0.299121 0.129846 0.102319 0.394023
349 0.095922 0.176501 0.089775 0.053803 0.076883 0.171294 0.141889 0.233261 0.112813 0.259232
349 0.101087 0.183725 0.093537 0.040119 0.080704 0.175393 0.140757 0.240074 0.106063 0.265268
349 0.106048 0.187141 0.087914 0.055197 0.092185 0.164564 0.134732 0.244991 0.120746 0.256034
3410 0.084211 0.190315 0.117013 0.069958 0.074416 0.153290 0.175677 0.255167 0.114112 0.249276
3410 0.091223 0.189731 0.122942 0.076174 0.075592 0.163701 0.163781 0.252962 0.112454 0.253630
3410 0.086670 0.200840 0.123377 0.067898 0.082801 0.158111 0.162224 0.240196 0.107837 0.257742
356 0.080478 0.214760 0.051172 0.033439 0.064635 0.153732 0.227095 0.223736 0.101316 0.228625
356 0.079530 0.228000 0.047927 0.046759 0.064874 0.143518 0.230284 0.211902 0.114822 0.228589
356 0.075886 0.210424 0.043144 0.046078 0.069142 0.154364 0.219889 0.207406 0.111574 0.234476
357 0.077720 0.230109 0.057750 0.065440 0.067557 0.127288 0.294384 0.149304 0.101286 0.351425
357 0.087643 0.231515 0.057985 0.074807 0.072382 0.125285 0.297181 0.137906 0.094885 0.344927
357 0.080071 0.220625 0.050943 0.084000 0.058368 0.134868 0.302474 0.139276 0.102416 0.355395
358 0.074117 0.194136 0.054006 0.092802 0.073884 0.112861 0.300326 0.135800 0.106596 0.396738
358 0.077368 0.195368 0.059558 0.080381 0.063575 0.124750 0.294859 0.141592 0.104116 0.397949
